scene_start,scene_end,audio_energy,motion_activity,speech_detected,score
1901.9333333333334,1905.6666666666667,470,558711,True,940.0
1905.6666666666667,1907.0,201,207889,True,402.0
1907.0,1909.9333333333334,310,418326,True,620.0
1909.9333333333334,1914.8,339,332411,True,678.0
1914.8,1916.6,286,411752,True,572.0
1916.6,1918.0666666666666,385,139437,False,770.0
1918.0666666666666,1918.6,272,73218,False,544.0
1918.6,1921.0666666666666,461,426933,True,922.0
1921.0666666666666,1921.7333333333333,806,82936,True,1612.0
1921.7333333333333,1923.5333333333333,572,339532,True,1144.0
1923.5333333333333,1926.6666666666667,677,574171,True,1354.0
1926.6666666666667,1929.3333333333333,744,446415,True,1488.0
1929.3333333333333,1933.2,640,669542,True,1280.0
1933.2,1933.7333333333333,863,178479,True,1726.0
1933.7333333333333,1935.7333333333333,1031,582224,True,2062.0
1935.7333333333333,1936.2666666666667,910,243593,True,1820.0
1936.2666666666667,1939.5333333333333,1774,436274,True,3548.0
1939.5333333333333,1940.4666666666667,984,176333,True,1968.0
1940.4666666666667,1941.3333333333333,2635,123233,True,5270.0
1941.3333333333333,1942.7333333333333,3523,260639,True,7046.0
1942.7333333333333,1944.0,3056,229614,True,6112.0
1944.0,1944.8,4839,175530,True,9678.0
1944.8,1945.6,1664,141660,True,3328.0
1945.6,1949.3999999999999,1770,445980,True,3540.0
1949.3999999999999,1950.4666666666667,3452,213593,True,6904.0
1950.4666666666667,1956.3333333333333,2094,642377,True,4188.0
1956.3333333333333,1958.6,639,437813,False,1278.0
1958.6,1959.1333333333332,735,276004,True,1470.0
1959.1333333333332,1959.9333333333334,1521,222330,True,3042.0
1959.9333333333334,1967.0,1734,794822,True,3468.0
1967.0,1967.5333333333333,2001,173186,False,4002.0
1967.5333333333333,1969.3999999999999,2149,323204,True,4298.0
1969.3999999999999,1970.0666666666666,2407,190353,True,4814.0
1970.0666666666666,1970.9333333333334,2350,237552,True,4700.0
1970.9333333333334,1972.1333333333332,3118,178581,True,6236.0
1972.1333333333332,1973.7333333333333,1409,333552,True,2818.0
1973.7333333333333,1976.3999999999999,1097,399162,True,2194.0
1976.3999999999999,1977.5333333333333,1173,217875,True,2346.0
1977.5333333333333,1982.0,954,462242,True,1908.0
1982.0,1982.9333333333334,1035,152920,True,2070.0
1982.9333333333334,1983.4666666666667,958,98144,True,1916.0
1983.4666666666667,1984.0,971,143124,True,1942.0
1984.0,1986.6666666666667,1227,447109,True,2454.0
1986.6666666666667,1987.3999999999999,1157,166682,True,2314.0
1987.3999999999999,1987.9333333333334,1054,157918,True,2108.0
1987.9333333333334,1992.4666666666667,1659,653278,True,3318.0
1992.4666666666667,1995.8666666666666,1729,552727,True,3458.0
1995.8666666666666,2000.6,1989,389817,True,3978.0
2000.6,2038.8,1868,2226398,True,3736.0
2038.8,2039.3333333333333,811,108888,True,1622.0
2039.3333333333333,2042.4666666666667,825,591327,True,1650.0
2042.4666666666667,2047.3333333333333,904,532769,True,1808.0
2047.3333333333333,2052.9333333333334,4593,328180,True,9186.0
2052.9333333333334,2053.866666666667,1554,92512,False,3108.0
2053.866666666667,2055.2,1982,88613,True,3964.0
2055.2,2060.0,1356,322125,True,2712.0
2060.0,2065.733333333333,652,438136,True,1304.0
2065.733333333333,2066.9333333333334,1362,247985,True,2724.0
2066.9333333333334,2072.3333333333335,1400,188776,True,2800.0
